term,frequency_doc1,frequency_doc2,sum_of_frequencies
suffering,1,0,1
accursd,1,0,1
brinded,1,0,1
mewd,1,0,1
hedgepigge,1,0,1
whind,1,0,1
harpier,1,0,1
entrailes,1,0,1
toad,1,0,1
sweltred,1,0,1
pot,1,0,1
toile,1,0,1
fillet,1,0,1
faithfull,1,0,1
knives,1,0,1
banquets,1,0,1
andt,1,0,1
fact,1,0,1
delinquents,1,0,1
slaves,1,0,1
thralles,1,0,1
nobly,1,0,1
wisely,1,0,1
twould,1,0,1
angerd,1,0,1
denyt,1,0,1
fayld,1,0,1
feasts,1,0,1
bestowes,1,0,1
holds,1,0,1
birth,1,0,1
receyud,1,0,1
edward,1,0,1
malevolence,1,0,1
ayd,1,0,1
northumberland,1,0,1
ratify,1,0,1
prevention,0,1,1
